Food_Item,Category,Category_Detail,FDC_ID,Serving_Size,Protein_g_per_100g,Calories_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Sugar_g_per_100g,Vitamin_A_RAE,Vitamin_C_mg,Vitamin_D_µg,Vitamin_B12_µg,Calcium_mg,Iron_mg,Magnesium_mg,Potassium_mg,Zinc_mg,Calories_per_gram_Protein
"Meat loaf, NS as to type of meat",meat,meat,2706579,N/A,17.49,202.0,11.04,7.2,0.4,0,22.0,0.6,0.3,1.66,65.0,2.05,19.0,273.0,3.82,11.55
"Meat spread or potted meat, NFS",meat,meat,2706220,N/A,7.66,235.0,17.34,11.94,0.2,0,26.0,0.0,0.6,1.12,12.0,0.79,8.0,110.0,1.02,30.68
"Meat with gravy, NS as to type of meat,",meat,meat,2706473,N/A,21.56,156.0,7.05,1.58,0.0,0,0.0,0.0,0.1,1.19,8.0,1.79,15.0,188.0,3.64,7.24
Chili with meat,meat,meat,2706377,N/A,13.32,139.0,8.22,2.41,0.5,0,12.0,5.9,0.0,1.26,16.0,1.51,14.0,222.0,3.14,10.44
Biryani with meat,meat,meat,2706490,N/A,8.5,145.0,6.79,12.19,1.0,0,16.0,5.6,0.1,0.47,33.0,1.12,17.0,229.0,1.45,17.06
"Chimichanga, meat",meat,meat,2708587,N/A,12.08,324.0,18.8,25.76,1.8,0,10.0,0.0,0.0,0.72,110.0,2.55,18.0,150.0,2.05,26.82
"Crepe, with meat",meat,meat,2708719,N/A,12.86,173.0,10.06,7.73,0.3,0,82.0,0.8,0.8,0.8,106.0,1.36,17.0,159.0,1.77,13.45
"Dumpling, no meat",meat,meat,2708344,N/A,3.45,125.0,3.37,20.49,0.7,0,14.0,0.0,0.3,0.11,142.0,1.57,10.0,71.0,0.28,36.23
"Empanada, no meat",meat,meat,2708710,N/A,5.75,265.0,13.16,31.5,3.4,0,14.0,3.2,0.0,0.05,46.0,1.63,27.0,197.0,0.67,46.09
"Enchilada, no meat",meat,meat,2708569,N/A,6.37,165.0,8.2,17.34,3.1,0,35.0,0.4,0.0,0.15,121.0,1.01,36.0,204.0,1.02,25.9
"Gordita, meat",meat,meat,2708585,N/A,16.99,296.0,19.36,13.12,1.0,0,20.0,0.0,0.1,1.44,87.0,2.6,26.0,209.0,3.82,17.42
Lasagna with meat,meat,meat,2708750,N/A,7.45,139.0,4.97,16.17,1.6,0,42.0,4.4,0.0,0.83,82.0,0.73,20.0,207.0,0.89,18.66
"Meat, NFS",meat,meat,2705819,N/A,27.13,215.0,11.29,0.0,0.0,0,3.0,0.0,0.3,1.63,15.0,1.91,22.0,352.0,4.43,7.92
"Pupusa, meat",meat,meat,2708610,N/A,11.51,232.0,10.43,23.02,2.6,0,10.0,0.1,0.7,0.28,49.0,1.01,38.0,255.0,1.62,20.16
"Tamale, no meat",meat,meat,2708574,N/A,3.48,186.0,7.21,26.68,3.2,0,2.0,0.2,0.4,0.0,24.0,0.53,29.0,186.0,0.62,53.45
"Ravioli, meat-filled, with tomato sauce or meat sauce",meat,meat,2708764,N/A,8.74,148.0,6.25,14.46,1.0,0,43.0,2.8,0.3,0.61,27.0,2.01,16.0,217.0,1.6,16.93
Chili with meat and beans,meat,meat,2706375,N/A,9.8,118.0,4.33,10.25,3.0,0,12.0,6.3,0.0,0.63,21.0,1.91,25.0,285.0,1.98,12.04
Alfredo sauce with meat,meat,meat,2705811,N/A,6.52,171.0,15.34,1.44,0.0,0,111.0,0.1,0.4,0.56,58.0,0.48,7.0,89.0,1.4,26.23
"Bao bun, no meat",meat,meat,2708725,N/A,6.73,268.0,2.94,54.27,3.4,0,0.0,0.3,0.1,0.0,107.0,2.63,23.0,174.0,0.58,39.82
"Barbecue meat, NFS",meat,meat,2706369,N/A,18.14,226.0,11.17,12.23,0.3,0,6.0,0.2,0.6,0.92,23.0,1.36,19.0,289.0,3.51,12.46
"Beans and rice, with meat",meat,meat,2708992,N/A,7.49,162.0,4.24,23.54,4.4,0,1.0,0.3,0.0,0.13,25.0,1.64,33.0,240.0,1.11,21.63
"Beef, stew meat",meat,meat,2705849,N/A,28.39,251.0,15.35,0.0,0.0,0,5.0,0.0,0.1,3.18,14.0,2.91,20.0,282.0,10.15,8.84
Black beans with meat,meat,meat,2707366,N/A,10.61,177.0,6.81,19.06,7.0,0,1.0,0.0,0.1,0.22,24.0,1.95,59.0,328.0,1.6,16.68
"Burrito, meat, no cheese",meat,meat,2708550,N/A,12.85,262.0,9.75,29.63,2.1,0,1.0,0.0,0.0,0.77,94.0,2.93,19.0,168.0,2.19,20.39
"Calzone, with meat and cheese",meat,meat,2708685,N/A,14.84,343.0,17.69,31.31,1.4,0,113.0,0.0,0.3,0.53,177.0,2.64,22.0,169.0,2.0,23.11
"Chili with meat, canned",meat,meat,2706376,N/A,8.5,106.0,3.38,10.82,3.2,0,11.0,6.0,0.0,0.48,20.0,1.84,25.0,275.0,1.64,12.47
Dressing with meat and vegetables,meat,meat,2708749,N/A,7.94,243.0,14.56,20.36,1.3,0,54.0,1.2,0.6,0.24,94.0,1.95,17.0,158.0,0.93,30.6
Eggplant and meat casserole,meat,meat,2710144,N/A,7.11,96.0,5.53,4.67,1.5,0,31.0,4.5,0.2,0.59,57.0,0.85,15.0,224.0,1.43,13.5
"Gordita, meat, with beans",meat,meat,2708586,N/A,11.41,252.0,15.59,16.64,2.0,0,20.0,0.2,0.0,0.77,90.0,2.32,30.0,212.0,2.34,22.09
Imitation crab meat,meat,meat,2706568,N/A,7.62,95.0,0.46,15.0,0.5,0,0.0,0.0,0.0,0.57,13.0,0.39,43.0,90.0,0.33,12.47
Jambalaya with meat and rice,meat,meat,2706727,N/A,13.76,161.0,7.97,8.65,0.7,0,8.0,7.2,0.2,0.32,24.0,1.11,19.0,240.0,1.07,11.7
Kidney beans with meat,meat,meat,2707386,N/A,10.46,173.0,6.78,18.33,5.9,0,1.0,0.9,0.1,0.22,24.0,2.62,39.0,367.0,1.57,16.54
Lasagna with meat and spinach,meat,meat,2708755,N/A,13.33,207.0,10.79,13.76,1.1,0,98.0,1.3,0.2,0.6,262.0,0.96,26.0,209.0,2.06,15.53
"Lasagna with meat, canned",meat,meat,2708751,N/A,3.24,97.0,3.41,13.26,1.5,0,14.0,0.0,0.0,0.15,12.0,1.09,12.0,178.0,0.39,29.94
"Lasagna with meat, frozen",meat,meat,2708754,N/A,6.63,124.0,4.42,14.39,1.4,0,37.0,4.1,0.0,0.74,73.0,0.65,18.0,184.0,0.79,18.7
"Luncheon meat, NFS",meat,meat,2706205,N/A,16.7,101.0,3.73,0.27,0.0,0,0.0,0.0,0.6,0.36,5.0,0.58,19.0,425.0,1.52,6.05
"Meat, ground, NFS",meat,meat,2705820,N/A,25.62,262.0,17.04,0.0,0.0,0,3.0,0.0,0.0,2.61,24.0,2.4,20.0,304.0,6.02,10.23
Pad Thai with meat,meat,meat,2708808,N/A,8.18,160.0,7.92,14.73,1.2,0,17.0,5.0,0.2,0.34,20.0,0.96,24.0,144.0,1.22,19.56
Pinto beans with meat,meat,meat,2707378,N/A,10.73,186.0,6.9,21.07,7.2,0,1.0,0.6,0.1,0.22,39.0,1.94,43.0,393.0,1.49,17.33
"Pot pie, no meat",meat,meat,2707475,N/A,5.44,242.0,12.15,27.96,3.5,0,120.0,1.8,0.2,0.08,41.0,1.88,19.0,185.0,0.61,44.49
"Pupusa, meat, with beans",meat,meat,2708611,N/A,8.55,230.0,9.72,27.26,4.2,0,10.0,0.1,0.7,0.28,50.0,1.24,46.0,280.0,1.28,26.9
"Quesadilla, egg, with meat",meat,meat,2708598,N/A,11.43,249.0,13.93,19.09,1.3,0,105.0,0.0,1.5,0.53,141.0,2.22,17.0,139.0,1.12,21.78
Refried beans with meat,meat,meat,2707398,N/A,7.81,99.0,2.51,11.76,3.2,0,1.0,4.9,0.1,0.22,27.0,1.5,33.0,319.0,1.21,12.68
"Soup, bean, with meat",meat,meat,2707457,N/A,5.88,84.0,2.35,10.0,3.5,0,42.0,1.1,0.0,0.25,19.0,1.01,29.0,199.0,1.05,14.29
"Soup, lentil, with meat",meat,meat,2707463,N/A,5.94,78.0,2.3,8.76,3.2,0,42.0,1.6,0.0,0.25,17.0,1.43,17.0,204.0,1.1,13.13
"Soup, pho, no meat",meat,meat,2707125,N/A,1.42,37.0,0.93,5.9,0.5,0,22.0,5.5,0.0,0.0,26.0,0.27,7.0,53.0,0.17,26.06
"Soup, pho, with meat",meat,meat,2707124,N/A,5.81,77.0,3.33,5.6,0.4,0,1.0,1.0,0.0,0.51,9.0,0.58,7.0,78.0,1.32,13.25
"Soup, potato with meat",meat,meat,2709557,N/A,3.78,109.0,6.43,8.81,1.0,0,60.0,5.5,0.3,0.09,17.0,0.48,13.0,210.0,0.67,28.84
"Soup, vegetable, with meat",meat,meat,2710116,N/A,3.36,44.0,1.6,4.04,0.8,0,33.0,6.8,0.0,0.14,12.0,0.31,11.0,152.0,0.51,13.1
